implementation,version,name,cold_ns,warm_ns,parse_ns,compile_ns,memory,exit_status
ajv,v8.20.0,example-blogpost-valid,15607458,8835625,24298542,24851916,124376,0
ajv,v8.20.0,example-blogpost-valid,15423542,8730500,23906250,28006583,125948,0
ajv,v8.20.0,example-calendar-invalid,6883208,4563000,84733708,27969708,155384,0
ajv,v8.20.0,example-calendar-invalid,6921792,4477417,84971125,26480000,154832,0
ajv,v8.20.0,example-calendar-invalid,6930500,4575583,83545375,25078208,153920,0
ajv,v8.20.0,example-calendar-valid,9962958,7836291,30144208,24326791,145376,0
ajv,v8.20.0,example-calendar-valid,9376709,7446375,29634292,27813875,144864,0
ajv,v8.20.0,example-calendar-valid,9648292,7662375,29246959,24426917,145832,0
ajv,v8.20.0,example-devicetype-invalid,4800167,1007959,40266625,24856209,98012,0
ajv,v8.20.0,example-devicetype-invalid,4517167,1017958,38291583,26497334,112632,0
ajv,v8.20.0,example-devicetype-invalid,4504167,966417,37639000,26136750,98332,0
ajv,v8.20.0,example-devicetype-valid,4522792,2292084,6182458,26820042,89580,0
ajv,v8.20.0,example-devicetype-valid,4612583,2250917,6604833,25502083,91380,0
ajv,v8.20.0,example-devicetype-valid,4575042,2234583,6254125,26029000,90840,0
ajv,v8.20.0,example-health-record-invalid,9360875,4419334,74653709,28301458,144300,0
ajv,v8.20.0,example-health-record-invalid,9402334,4392959,75126542,26329417,146144,0
ajv,v8.20.0,example-health-record-invalid,9387666,4329876,77765959,25161916,145920,0
ajv,v8.20.0,example-health-record-valid,14788208,9110000,34685250,25508167,160668,0
ajv,v8.20.0,example-health-record-valid,14735667,9046416,35211709,26421125,162012,0
ajv,v8.20.0,example-health-record-valid,14646542,9168041,34824250,28754000,161144,0
ajv,v8.20.0,example-job-posting-invalid,5337916,3285166,41309500,25621625,105532,0
ajv,v8.20.0,example-job-posting-invalid,4994792,3266583,43569834,23822375,107492,0
ajv,v8.20.0,example-job-posting-invalid,5020000,3249959,39691250,25321625,105392,0
ajv,v8.20.0,example-job-posting-valid,10352625,5036458,14052250,25140042,107748,0
ajv,v8.20.0,example-job-posting-valid,10460625,4984000,14577208,24814375,107224,0
ajv,v8.20.0,example-job-posting-valid,10644458,5128417,14370250,27008334,106260,0
ajv,v8.20.0,example-movie-invalid,5610750,2764375,50205208,25460291,110508,0
ajv,v8.20.0,example-movie-invalid,6901500,2844208,49938334,24863084,108780,0
ajv,v8.20.0,example-movie-invalid,6618208,2828083,50856208,23911625,108656,0
ajv,v8.20.0,example-movie-valid,8120416,4689792,11963417,23603750,102224,0
ajv,v8.20.0,example-movie-valid,8462833,4697792,11945541,23084333,104140,0
ajv,v8.20.0,example-movie-valid,7989166,4676792,12096166,24164125,104628,0
ajv,v8.20.0,example-userprofile-invalid,6115084,2769792,46018333,24023792,107588,0
ajv,v8.20.0,example-userprofile-invalid,5654500,2760750,43972584,24131750,106608,0
ajv,v8.20.0,example-userprofile-invalid,8688583,3298166,52282083,23634458,108016,0
ajv,v8.20.0,example-userprofile-valid,6601917,4294458,12496666,26308584,109956,0
ajv,v8.20.0,example-userprofile-valid,6528334,4335083,12016334,24883125,107820,0
ajv,v8.20.0,example-userprofile-valid,6318417,4271708,11934125,26543250,108096,0
ajv,v8.20.0,fabric-mod,5591292,1313084,2800209,27530208,103992,0
ajv,v8.20.0,fabric-mod,5723708,1222708,3063208,28525542,104796,0
ajv,v8.20.0,fabric-mod,5482250,1231250,3300042,27581750,104512,0
ajv,v8.20.0,fabric-mod-invalid,3978625,1445584,3724875,28247791,96608,0
ajv,v8.20.0,fabric-mod-invalid,4506375,1228333,3324167,27031458,97492,0
ajv,v8.20.0,fabric-mod-invalid,4077292,1342833,3638417,26426042,97180,0
ajv,v8.20.0,geojson,139865501,9259875,105874625,54309250,233940,0
ajv,v8.20.0,geojson,139973500,9139917,106882750,54552458,232912,0
ajv,v8.20.0,geojson,137525542,9469375,106339417,57477041,233448,0
ajv,v8.20.0,geojson-invalid,77664292,7692292,105410167,54563209,240684,0
ajv,v8.20.0,geojson-invalid,77872250,7906875,106443334,54696791,240468,0
ajv,v8.20.0,geojson-invalid,76805875,7657667,106817208,54458833,240912,0
ajv,v8.20.0,gitpod-configuration,3180375,424625,1218459,25504416,85292,0
ajv,v8.20.0,gitpod-configuration,3221167,372584,1098542,29791333,85188,0
ajv,v8.20.0,gitpod-configuration,3160875,355875,1171125,27614209,86412,0
ajv,v8.20.0,gitpod-configuration-invalid,2773667,218542,2050583,26589458,87108,0
ajv,v8.20.0,gitpod-configuration-invalid,2715667,160917,2094375,26949458,87368,0
ajv,v8.20.0,gitpod-configuration-invalid,2800959,161417,2135917,28864083,89268,0
ajv,v8.20.0,importmap,865250,99167,2886583,17668833,74852,0
ajv,v8.20.0,importmap,841959,99167,2710166,15470541,72972,0
ajv,v8.20.0,importmap,830834,99833,2817958,15833333,74820,0
ajv,v8.20.0,importmap-invalid,1255583,117375,3931625,16059041,78168,0
ajv,v8.20.0,importmap-invalid,1282417,127750,3757625,15781500,78316,0
ajv,v8.20.0,importmap-invalid,1250291,121208,3721250,15995791,76096,0
ajv,v8.20.0,jasmine,1107458,78250,536584,19347541,73276,0
ajv,v8.20.0,jasmine,1100166,91333,522417,21541542,71248,0
ajv,v8.20.0,jasmine,1100542,81292,504709,18326041,71364,0
ajv,v8.20.0,jasmine-invalid,921000,49334,1137625,17799625,75572,0
ajv,v8.20.0,jasmine-invalid,893125,51542,1146292,18787084,74176,0
ajv,v8.20.0,jasmine-invalid,884125,48667,1079709,18606958,74016,0
ajv,v8.20.0,jsck-complex-invalid,10067333,4657959,8109583,29177667,92032,0
ajv,v8.20.0,jsck-complex-invalid,10150250,4593125,8143458,29267042,92640,0
ajv,v8.20.0,jsck-complex-invalid,9958167,4747333,8183958,31814583,92344,0
ajv,v8.20.0,jsck-complex-valid,20640708,13935334,9926459,28738500,95804,0
ajv,v8.20.0,jsck-complex-valid,22306791,13273083,9751542,30855708,99736,0
ajv,v8.20.0,jsck-complex-valid,20183125,13819583,10022917,29872375,96916,0
ajv,v8.20.0,jsck-medium-invalid,8478459,1495750,34583875,28539208,115360,0
ajv,v8.20.0,jsck-medium-invalid,7871834,1621666,35220291,26963000,114708,0
ajv,v8.20.0,jsck-medium-invalid,7403792,1535416,35079583,27777667,115944,0
ajv,v8.20.0,jsck-medium-valid,7941166,3100542,18477417,26715291,91812,0
ajv,v8.20.0,jsck-medium-valid,7842542,3100459,18588542,27327541,90944,0
ajv,v8.20.0,jsck-medium-valid,7727416,2833333,18111125,26600500,91340,0
ajv,v8.20.0,jsconfig-rmUniqueItems,8378083,3939875,1672333,33191375,105424,0
ajv,v8.20.0,jsconfig-rmUniqueItems,8585833,3868250,1710875,31725292,107624,0
ajv,v8.20.0,jsconfig-rmUniqueItems,8707083,3760292,1416917,34289875,106124,0
ajv,v8.20.0,jsconfig-rmUniqueItems-invalid,6356291,2196917,2345625,31908042,117104,0
ajv,v8.20.0,jsconfig-rmUniqueItems-invalid,6312291,2141709,2327416,32653125,119244,0
ajv,v8.20.0,jsconfig-rmUniqueItems-invalid,6386250,2159500,2278000,32297167,117788,0
ajv,v8.20.0,jshintrc,5935542,4089958,3833167,22490083,101408,0
ajv,v8.20.0,jshintrc,5969959,4061042,3813250,21422708,102660,0
ajv,v8.20.0,jshintrc,5740417,4017750,3782042,21558708,100216,0
ajv,v8.20.0,jshintrc-invalid,3996792,2098333,4555667,22184042,104664,0
ajv,v8.20.0,jshintrc-invalid,3965667,2121834,4358917,21739583,104964,0
ajv,v8.20.0,jshintrc-invalid,3906583,2097833,4538542,21977041,105348,0
ajv,v8.20.0,katydid-conf-invalid,10217250,1506167,17548583,25424708,95516,0
ajv,v8.20.0,katydid-conf-invalid,10350250,1429042,17366292,26037209,96068,0
ajv,v8.20.0,katydid-conf-invalid,10208500,1446667,17506750,25537792,93740,0
ajv,v8.20.0,katydid-conf-valid,10439292,1927667,22125583,30901959,92432,0
ajv,v8.20.0,katydid-conf-valid,11070459,1909167,22116083,25085250,91740,0
ajv,v8.20.0,katydid-conf-valid,11012708,1942958,22239208,24081625,91300,0
ajv,v8.20.0,lazygit-rmUniqueItems,6686500,663917,648042,47844583,97784,0
ajv,v8.20.0,lazygit-rmUniqueItems,6519125,657208,687041,47894750,98564,0
ajv,v8.20.0,lazygit-rmUniqueItems,6843750,653833,695375,46225292,101020,0
ajv,v8.20.0,lazygit-rmUniqueItems-invalid,5776750,252791,960334,47744000,86076,0
ajv,v8.20.0,lazygit-rmUniqueItems-invalid,5853208,249709,1009500,50048958,84440,0
ajv,v8.20.0,lazygit-rmUniqueItems-invalid,6033875,274167,937000,46715750,87420,0
ajv,v8.20.0,lerna,1257292,271292,1238458,18624667,76728,0
ajv,v8.20.0,lerna,1219834,263792,1213667,18609083,76876,0
ajv,v8.20.0,lerna,1220625,253542,1176666,17899083,78384,0
ajv,v8.20.0,lerna-invalid,1052042,60459,1461625,18502750,77028,0
ajv,v8.20.0,lerna-invalid,1017417,74959,1385000,18085292,77100,0
ajv,v8.20.0,lerna-invalid,1044000,56666,1396917,21374833,78808,0
ajv,v8.20.0,nest-cli,2801583,299417,1405959,25767166,79420,0
ajv,v8.20.0,nest-cli,2639291,292083,1486875,25096333,76856,0
ajv,v8.20.0,nest-cli,2831000,302167,1473333,25723875,77236,0
ajv,v8.20.0,nest-cli-invalid,2188791,127375,2113792,25903292,77144,0
ajv,v8.20.0,nest-cli-invalid,2161875,126209,2147166,26882667,77376,0
ajv,v8.20.0,nest-cli-invalid,2109167,137334,2077208,26972542,77116,0
ajv,v8.20.0,omnisharp,3435375,1436209,1799458,24747042,99784,0
ajv,v8.20.0,omnisharp,3461042,1454083,1853000,22411042,101112,0
ajv,v8.20.0,omnisharp,3430875,1521500,1840625,24152833,101984,0
ajv,v8.20.0,omnisharp-invalid,3084375,929375,2263292,23456458,91420,0
ajv,v8.20.0,omnisharp-invalid,2846708,780083,2097042,25123916,92104,0
ajv,v8.20.0,omnisharp-invalid,2943042,863208,2092417,23699250,92272,0
ajv,v8.20.0,pre-commit-hooks,7372459,2347666,1901333,21774333,102672,0
ajv,v8.20.0,pre-commit-hooks,7021667,2398834,1836500,24403666,103988,0
ajv,v8.20.0,pre-commit-hooks,7136750,2374750,1912041,21907250,102368,0
ajv,v8.20.0,pre-commit-hooks-invalid,3787583,766250,2819750,22222375,82196,0
ajv,v8.20.0,pre-commit-hooks-invalid,3729125,742167,2693583,22376667,80476,0
ajv,v8.20.0,pre-commit-hooks-invalid,3826083,831875,2840167,22168167,82036,0
ajv,v8.20.0,pulumi,5715167,1353833,6361708,25195875,99752,0
ajv,v8.20.0,pulumi,5914791,1412250,6478875,23165083,101244,0
ajv,v8.20.0,pulumi,5633042,2583417,6448625,24567000,102148,0
ajv,v8.20.0,pulumi-invalid,4097916,393000,8357334,24484875,97568,0
ajv,v8.20.0,pulumi-invalid,4256125,426708,8260167,22490500,97668,0
ajv,v8.20.0,pulumi-invalid,4025042,428417,7652625,23364042,97620,0
ajv,v8.20.0,semantic-release,1838167,122416,1322083,21420417,76244,0
ajv,v8.20.0,semantic-release,2018167,142834,1301208,19123375,76844,0
ajv,v8.20.0,semantic-release,1932542,128208,1374292,18941375,74996,0
ajv,v8.20.0,semantic-release-invalid,1756125,196750,1846000,22599959,78056,0
ajv,v8.20.0,semantic-release-invalid,1918917,140708,1840708,18431666,79484,0
ajv,v8.20.0,semantic-release-invalid,1726500,182667,1977333,19569834,79420,0
ajv,v8.20.0,stale,1385792,116250,825375,20127375,73996,0
ajv,v8.20.0,stale,1667500,129583,853000,21779458,74112,0
ajv,v8.20.0,stale,1815209,112417,836875,20492250,75764,0
ajv,v8.20.0,stale-invalid,1647459,57500,1404542,19799291,79424,0
ajv,v8.20.0,stale-invalid,1590666,51916,1315917,24002583,77524,0
ajv,v8.20.0,stale-invalid,1603625,57917,1399833,19280708,79192,0
ajv,v8.20.0,stylecop-rmUniqueItems,2485500,486666,1615375,21646625,78232,0
ajv,v8.20.0,stylecop-rmUniqueItems,2622916,486459,1571250,23606292,80380,0
ajv,v8.20.0,stylecop-rmUniqueItems,2605250,504334,1665958,22472500,78264,0
ajv,v8.20.0,stylecop-rmUniqueItems-invalid,1994334,165083,2265250,20778208,83884,0
ajv,v8.20.0,stylecop-rmUniqueItems-invalid,1966125,173750,2277250,22696417,85500,0
ajv,v8.20.0,stylecop-rmUniqueItems-invalid,1981833,205750,2354625,22878084,85716,0
ajv,v8.20.0,tmuxinator,1713333,169750,1103542,20446667,77724,0
ajv,v8.20.0,tmuxinator,1681625,196125,1030875,20439083,76796,0
ajv,v8.20.0,tmuxinator,1614833,162333,994375,19929042,77584,0
ajv,v8.20.0,tmuxinator-invalid,1277500,35542,1317750,20716917,77832,0
ajv,v8.20.0,tmuxinator-invalid,1285042,36375,1264500,19258750,77972,0
ajv,v8.20.0,tmuxinator-invalid,1306916,36208,1281291,21743708,78184,0
ajv,v8.20.0,ui5,25668958,391209,1555959,144744750,211556,0
ajv,v8.20.0,ui5,25819500,299250,1540125,140974375,212296,0
ajv,v8.20.0,ui5,25956584,270958,1543250,143922208,211268,0
ajv,v8.20.0,ui5-invalid,25910084,477542,2505167,143253459,214892,0
ajv,v8.20.0,ui5-invalid,26126042,472792,2578250,155162959,215476,0
ajv,v8.20.0,ui5-invalid,25954250,463750,2617583,146668000,216824,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems,2501708,407708,964208,23053459,72764,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems,2503625,426250,1027959,28349958,74576,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems,2496375,381833,1038959,22249958,72596,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,1859084,143750,1818542,23062876,77508,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,1777125,138042,1633792,22954084,78056,0
ajv,v8.20.0,unreal-engine-uproject-rmUniqueItems-invalid,1833250,160167,1560292,22902000,77404,0
ajv,v8.20.0,vercel,7126792,913542,994291,42687708,91852,0
ajv,v8.20.0,vercel,6989291,888625,911959,40995750,91504,0
ajv,v8.20.0,vercel,7138458,940458,872125,42893584,93452,0
ajv,v8.20.0,vercel-invalid,7076916,286625,1547250,42532125,100028,0
ajv,v8.20.0,vercel-invalid,6978833,290833,1569000,41682791,98512,0
ajv,v8.20.0,vercel-invalid,6325834,314125,1521833,42533959,95424,0
ajv,v8.20.0,yamllint,364792,8583,1415417,15227541,71600,0
ajv,v8.20.0,yamllint,355083,8417,1430875,14964792,73272,0
ajv,v8.20.0,yamllint,346000,11125,1339625,14511375,71544,0
ajv,v8.20.0,yamllint-invalid,751667,14416,1738292,17094208,71900,0
ajv,v8.20.0,yamllint-invalid,678208,12917,1771166,15608500,71720,0
ajv,v8.20.0,yamllint-invalid,811916,14959,1796750,14880959,72084,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-invalid,12275625,2842542,52438459,21512708,131796,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-invalid,14109667,2755333,51486417,19918334,128392,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-invalid,12329084,2788458,53876750,19970666,129440,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-valid,18526667,6522042,16838584,20431042,92756,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-valid,20506000,6481167,17034375,20617958,94744,0
ajv,v8.20.0,zschema-advanced-rmUniqueItems-valid,19922875,6503833,16298958,20539959,93460,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-invalid,714583,106292,4752750,19388666,74036,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-invalid,621541,105458,4507041,16429333,74192,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-invalid,692750,101375,4758500,19120042,75648,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-valid,932875,262958,4266291,16524542,72432,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-valid,953084,281375,4222417,16491167,72440,0
ajv,v8.20.0,zschema-basic-rmUniqueItems-valid,946958,261292,4242667,17147833,74368,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,13531917,3177042,36770792,19001709,192424,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,13062167,3010792,37667125,19355416,193704,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-invalid,12944958,3005958,37047208,19457583,192488,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,26136000,13631792,28031625,20681667,170576,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,25998375,13864584,28751417,19083583,171084,0
ajv-bun,v8.20.0,ajv-cosmicrealms-rmUniqueItems-valid,25322459,13484750,29852125,18509709,170744,0
ajv-bun,v8.20.0,ansible-meta,6641459,731458,494750,36530625,244324,0
ajv-bun,v8.20.0,ansible-meta,6704666,203041,502417,34461209,235364,0
ajv-bun,v8.20.0,ansible-meta,6582542,197916,752417,35020750,234736,0
ajv-bun,v8.20.0,ansible-meta-invalid,4775833,244833,693584,34772042,137404,0
ajv-bun,v8.20.0,ansible-meta-invalid,4903250,255916,663959,34659250,137060,0
ajv-bun,v8.20.0,ansible-meta-invalid,4541584,252542,724875,35867000,133668,0
ajv-bun,v8.20.0,aws-cdk,669542,47791,927125,14578208,82352,0
ajv-bun,v8.20.0,aws-cdk,655167,49459,1110792,13601375,82552,0
ajv-bun,v8.20.0,aws-cdk,651250,48667,1024792,12578917,81260,0
ajv-bun,v8.20.0,aws-cdk-invalid,636459,50959,760417,12237208,88968,0
ajv-bun,v8.20.0,aws-cdk-invalid,620000,62208,676666,13118333,88756,0
ajv-bun,v8.20.0,aws-cdk-invalid,625334,47292,687541,13541959,89848,0
ajv-bun,v8.20.0,babelrc,2510750,111709,548958,17336333,98644,0
ajv-bun,v8.20.0,babelrc,2678542,136000,487250,17617042,99568,0
ajv-bun,v8.20.0,babelrc,2731250,108042,618208,17841375,98720,0
ajv-bun,v8.20.0,babelrc-invalid,2446500,96167,919917,17002833,116168,0
ajv-bun,v8.20.0,babelrc-invalid,2390416,81458,868500,16503458,111556,0
ajv-bun,v8.20.0,babelrc-invalid,2165584,73083,731250,15810000,112236,0
ajv-bun,v8.20.0,clang-format,4590292,254958,208042,29314209,143960,0
ajv-bun,v8.20.0,clang-format,4668500,252292,455625,29077917,142896,0
ajv-bun,v8.20.0,clang-format,4628917,244833,192875,29268291,141768,0
ajv-bun,v8.20.0,clang-format-invalid,2736583,75042,298250,30618750,113228,0
ajv-bun,v8.20.0,clang-format-invalid,2912625,72583,304833,29426958,114692,0
ajv-bun,v8.20.0,clang-format-invalid,2796083,73000,407792,28291875,114204,0
ajv-bun,v8.20.0,cmake-presets,25455125,5874292,5560458,58704459,248916,0
ajv-bun,v8.20.0,cmake-presets,27313667,6160791,5229250,57000333,248672,0
ajv-bun,v8.20.0,cmake-presets,26697625,5989291,5263166,58211250,248792,0
ajv-bun,v8.20.0,cmake-presets-invalid,21204375,5063417,6094958,58145875,307820,0
ajv-bun,v8.20.0,cmake-presets-invalid,21943042,5334500,6094000,55608291,321460,0
ajv-bun,v8.20.0,cmake-presets-invalid,22332584,5099042,6339459,57913583,269608,0
ajv-bun,v8.20.0,code-climate,2237292,121666,2877917,16038125,122780,0
ajv-bun,v8.20.0,code-climate,2301750,120625,2833750,17039750,120416,0
ajv-bun,v8.20.0,code-climate,2207166,124375,4057333,16312333,122916,0
ajv-bun,v8.20.0,code-climate-invalid,2940292,261666,3194333,16317250,131648,0
ajv-bun,v8.20.0,code-climate-invalid,2967709,252459,3658000,16576333,129792,0
ajv-bun,v8.20.0,code-climate-invalid,2846500,298333,3563708,15938542,134816,0
ajv-bun,v8.20.0,cypress,5310500,436708,1430708,24007958,139696,0
ajv-bun,v8.20.0,cypress,4758125,437417,1308958,23524209,139304,0
ajv-bun,v8.20.0,cypress,4836375,441583,1350500,23159584,137072,0
ajv-bun,v8.20.0,cypress-invalid,4122917,176750,1011417,22194375,137372,0
ajv-bun,v8.20.0,cypress-invalid,4307917,179000,1028875,22305625,136732,0
ajv-bun,v8.20.0,cypress-invalid,4201541,177458,898250,22487875,137308,0
ajv-bun,v8.20.0,deno-rmUniqueItems,3606250,697292,2472708,18498625,119924,0
ajv-bun,v8.20.0,deno-rmUniqueItems,4253000,325542,3680959,18084167,118400,0
ajv-bun,v8.20.0,deno-rmUniqueItems,3841708,790917,2782750,18608000,117944,0
ajv-bun,v8.20.0,deno-rmUniqueItems-invalid,3653500,212167,1989209,18598084,123028,0
ajv-bun,v8.20.0,deno-rmUniqueItems-invalid,3493541,229583,1978416,18785250,122560,0
ajv-bun,v8.20.0,deno-rmUniqueItems-invalid,3628958,208000,2082125,18978750,130940,0
ajv-bun,v8.20.0,dependabot,2546750,200292,959625,15365750,104636,0
ajv-bun,v8.20.0,dependabot,2536417,203000,930250,16342375,103824,0
ajv-bun,v8.20.0,dependabot,2554333,210667,989333,15777041,104252,0
ajv-bun,v8.20.0,dependabot-invalid,1954667,143791,1383375,15023625,122704,0
ajv-bun,v8.20.0,dependabot-invalid,1756459,132000,1270792,15330125,111808,0
ajv-bun,v8.20.0,dependabot-invalid,2361958,152709,1397875,15327625,111852,0
ajv-bun,v8.20.0,draft-04-rmUniqueItems,17099333,4417041,12230834,16736333,168304,0
